datetime,agency_cd,site_no,datetime,173901_00060_00001,173901_00060_00001_cd,173902_00060_00002,173902_00060_00002_cd,173903_00060_00003,173903_00060_00003_cd
2014-12-29,USGS,8183978,2014-12-29,0.0,A,0.0,A,0.0,A
2014-12-30,USGS,8183978,2014-12-30,0.0,A,0.0,A,0.0,A
2014-12-31,USGS,8183978,2014-12-31,0.0,A,0.0,A,0.0,A
2015-01-01,USGS,8183978,2015-01-01,0.0,A,0.0,A,0.0,A
2015-01-02,USGS,8183978,2015-01-02,0.03,A,0.0,A,0.0,A
2015-01-03,USGS,8183978,2015-01-03,0.03,A,0.0,A,0.0,A
2015-01-04,USGS,8183978,2015-01-04,0.0,A,0.0,A,0.0,A
2015-01-05,USGS,8183978,2015-01-05,0.0,A,0.0,A,0.0,A
2015-01-06,USGS,8183978,2015-01-06,0.0,A,0.0,A,0.0,A
2015-01-07,USGS,8183978,2015-01-07,0.0,A,0.0,A,0.0,A
2015-01-08,USGS,8183978,2015-01-08,0.0,A,0.0,A,0.0,A
2015-01-09,USGS,8183978,2015-01-09,0.0,A,0.0,A,0.0,A
2015-01-10,USGS,8183978,2015-01-10,0.0,A,0.0,A,0.0,A
2015-01-11,USGS,8183978,2015-01-11,0.0,A,0.0,A,0.0,A
2015-01-12,USGS,8183978,2015-01-12,0.0,A,0.0,A,0.0,A
2015-01-13,USGS,8183978,2015-01-13,0.0,A,0.0,A,0.0,A
2015-01-14,USGS,8183978,2015-01-14,0.0,A,0.0,A,0.0,A
2015-01-15,USGS,8183978,2015-01-15,0.0,A,0.0,A,0.0,A
2015-01-16,USGS,8183978,2015-01-16,0.0,A,0.0,A,0.0,A
2015-01-17,USGS,8183978,2015-01-17,0.0,A,0.0,A,0.0,A
2015-01-18,USGS,8183978,2015-01-18,0.0,A,0.0,A,0.0,A
2015-01-19,USGS,8183978,2015-01-19,0.0,A,0.0,A,0.0,A
2015-01-20,USGS,8183978,2015-01-20,0.0,A,0.0,A,0.0,A
2015-01-21,USGS,8183978,2015-01-21,0.0,A,0.0,A,0.0,A
2015-01-22,USGS,8183978,2015-01-22,2.15,A,0.0,A,0.51,A
2015-01-23,USGS,8183978,2015-01-23,0.02,A,0.0,A,0.0,A
2015-01-24,USGS,8183978,2015-01-24,0.0,A,0.0,A,0.0,A
2015-01-25,USGS,8183978,2015-01-25,0.0,A,0.0,A,0.0,A
2015-01-26,USGS,8183978,2015-01-26,0.0,A,0.0,A,0.0,A
2015-01-27,USGS,8183978,2015-01-27,0.0,A,0.0,A,0.0,A
2015-01-28,USGS,8183978,2015-01-28,0.0,A,0.0,A,0.0,A
2015-01-29,USGS,8183978,2015-01-29,0.0,A,0.0,A,0.0,A
2015-01-30,USGS,8183978,2015-01-30,0.0,A,0.0,A,0.0,A
2015-01-31,USGS,8183978,2015-01-31,0.03,A,0.0,A,0.0,A
2015-02-01,USGS,8183978,2015-02-01,0.0,A,0.0,A,0.0,A
2015-02-02,USGS,8183978,2015-02-02,0.0,A,0.0,A,0.0,A
2015-02-03,USGS,8183978,2015-02-03,0.0,A,0.0,A,0.0,A
2015-02-04,USGS,8183978,2015-02-04,0.0,A,0.0,A,0.0,A
2015-02-05,USGS,8183978,2015-02-05,0.0,A,0.0,A,0.0,A
2015-02-06,USGS,8183978,2015-02-06,0.0,A,0.0,A,0.0,A
2015-02-07,USGS,8183978,2015-02-07,0.0,A,0.0,A,0.0,A
2015-02-08,USGS,8183978,2015-02-08,0.0,A,0.0,A,0.0,A
2015-02-09,USGS,8183978,2015-02-09,0.0,A,0.0,A,0.0,A
2015-02-10,USGS,8183978,2015-02-10,0.0,A,0.0,A,0.0,A
2015-02-11,USGS,8183978,2015-02-11,0.0,A,0.0,A,0.0,A
2015-02-12,USGS,8183978,2015-02-12,0.0,A,0.0,A,0.0,A
2015-02-13,USGS,8183978,2015-02-13,0.0,A,0.0,A,0.0,A
2015-02-14,USGS,8183978,2015-02-14,0.0,A,0.0,A,0.0,A
2015-02-15,USGS,8183978,2015-02-15,0.0,A,0.0,A,0.0,A
2015-02-16,USGS,8183978,2015-02-16,0.0,A,0.0,A,0.0,A
2015-02-17,USGS,8183978,2015-02-17,0.0,A,0.0,A,0.0,A
2015-02-18,USGS,8183978,2015-02-18,0.0,A,0.0,A,0.0,A
2015-02-19,USGS,8183978,2015-02-19,0.0,A,0.0,A,0.0,A
2015-02-20,USGS,8183978,2015-02-20,0.0,A,0.0,A,0.0,A
2015-02-21,USGS,8183978,2015-02-21,0.0,A,0.0,A,0.0,A
2015-02-22,USGS,8183978,2015-02-22,0.0,A,0.0,A,0.0,A
2015-02-23,USGS,8183978,2015-02-23,0.0,A,0.0,A,0.0,A
2015-02-24,USGS,8183978,2015-02-24,0.0,A,0.0,A,0.0,A
2015-02-25,USGS,8183978,2015-02-25,0.0,A,0.0,A,0.0,A
2015-02-26,USGS,8183978,2015-02-26,0.0,A,0.0,A,0.0,A
2015-02-27,USGS,8183978,2015-02-27,0.0,A,0.0,A,0.0,A
2015-02-28,USGS,8183978,2015-02-28,0.0,A,0.0,A,0.0,A
2015-03-01,USGS,8183978,2015-03-01,0.0,A,0.0,A,0.0,A
2015-03-02,USGS,8183978,2015-03-02,0.0,A,0.0,A,0.0,A
2015-03-03,USGS,8183978,2015-03-03,0.0,A,0.0,A,0.0,A
2015-03-04,USGS,8183978,2015-03-04,0.0,A,0.0,A,0.0,A
2015-03-05,USGS,8183978,2015-03-05,0.0,A,0.0,A,0.0,A
2015-03-06,USGS,8183978,2015-03-06,0.0,A,0.0,A,0.0,A
2015-03-07,USGS,8183978,2015-03-07,0.0,A,0.0,A,0.0,A
2015-03-08,USGS,8183978,2015-03-08,0.0,A,0.0,A,0.0,A
2015-03-09,USGS,8183978,2015-03-09,0.01,A,0.0,A,0.0,A
2015-03-10,USGS,8183978,2015-03-10,0.0,A,0.0,A,0.0,A
