datetime,MaxLevel
2017-11-26,662.5
2017-11-25,662.5
2017-11-24,662.4
2017-11-23,662.0
2017-11-22,662.2
2017-11-21,662.6
2017-11-20,662.9
2017-11-19,662.8
2017-11-18,662.8
2017-11-17,662.6
2017-11-16,662.7
2017-11-15,662.7
2017-11-14,662.7
2017-11-13,662.8
2017-11-12,662.8
2017-11-11,662.3
2017-11-10,662.0
2017-11-09,661.9
2017-11-08,661.7
2017-11-07,661.9
2017-11-06,662.2
2017-11-05,662.8
2017-11-04,662.6
2017-11-03,662.4
2017-11-02,662.4
2017-11-01,662.5
2017-10-31,662.1
2017-10-30,662.4
2017-10-29,663.0
2017-10-28,662.3
2017-10-27,662.2
2017-10-26,662.4
2017-10-25,662.6
2017-10-24,662.9
2017-10-23,663.4
2017-10-22,663.9
2017-10-21,663.7
2017-10-20,663.3
2017-10-19,663.6
2017-10-18,663.7
2017-10-17,664.0
2017-10-16,664.6
2017-10-15,665.1
2017-10-14,664.8
2017-10-13,664.8
2017-10-12,665.3
2017-10-11,665.3
2017-10-10,665.1
2017-10-09,666.1
2017-10-08,666.2
2017-10-07,666.1
2017-10-06,665.6
2017-10-05,665.6
2017-10-04,665.4
2017-10-03,665.1
2017-10-02,665.4
2017-10-01,665.5
2017-09-30,664.8
2017-09-29,663.7
2017-09-28,662.7
2017-09-27,661.0
2017-09-26,659.8
2017-09-25,658.5
2017-09-24,658.6
2017-09-23,658.0
2017-09-22,656.9
2017-09-21,657.0
2017-09-20,657.5
2017-09-19,657.8
2017-09-18,658.6
2017-09-17,659.0
2017-09-16,658.7
2017-09-15,658.4
2017-09-14,658.7
2017-09-13,659.1
2017-09-12,659.4
2017-09-11,660.3
2017-09-10,660.6
2017-09-09,660.7
2017-09-08,660.4
2017-09-07,661.0
2017-09-06,661.1
2017-09-05,661.5
2017-09-04,662.6
2017-09-03,663.0
2017-09-02,663.2
2017-09-01,663.4
2017-08-31,664.7
2017-08-30,665.0
2017-08-29,664.9
2017-08-28,664.4
2017-08-27,663.5
2017-08-26,661.6
2017-08-25,659.4
2017-08-24,657.6
2017-08-23,657.5
2017-08-22,657.9
2017-08-21,658.4
2017-08-20,658.9
2017-08-19,658.8
2017-08-18,658.4
2017-08-17,658.9
2017-08-16,659.3
2017-08-15,660.1
2017-08-14,660.6
2017-08-13,661.1
2017-08-12,660.6
2017-08-11,660.3
2017-08-10,660.0
2017-08-09,659.4
2017-08-08,658.8
2017-08-07,657.0
2017-08-06,654.8
2017-08-05,654.3
2017-08-04,653.9
2017-08-03,653.4
2017-08-02,652.9
2017-08-01,652.9
2017-07-31,653.8
2017-07-30,654.4
2017-07-29,653.9
2017-07-28,653.9
2017-07-27,654.3
2017-07-26,654.5
2017-07-25,655.2
2017-07-24,656.3
2017-07-23,657.0
