datetime,datetime_x,datetime_x,Comal River,Unnamed: 0_x,datetime_y,Comal Rv (nc),Unnamed: 0_y,datetime.1,Comal Rv (oc),datetime_y,MaxLevel
2014-10-23,2014-10-23 00:00:00,2014-10-23 00:00:00,91.0,16508,2014-10-23 00:00:00,34.0,92759,2014-10-23 00:00:00,52.4,2014-10-23,825.9
2014-10-24,2014-10-24 00:00:00,2014-10-24 00:00:00,92.9,16604,2014-10-24 00:00:00,34.0,92855,2014-10-24 00:00:00,52.4,2014-10-24,825.9
2014-10-25,2014-10-25 00:00:00,2014-10-25 00:00:00,91.0,16700,2014-10-25 00:00:00,28.2,92951,2014-10-25 00:00:00,51.8,2014-10-25,825.8
2014-10-26,2014-10-26 00:00:00,2014-10-26 00:00:00,92.9,16796,2014-10-26 00:00:00,38.4,93047,2014-10-26 00:00:00,52.4,2014-10-26,825.8
2014-10-27,2014-10-27 00:00:00,2014-10-27 00:00:00,92.9,16892,2014-10-27 00:00:00,43.4,93143,2014-10-27 00:00:00,53.1,2014-10-27,825.8
2014-10-28,2014-10-28 00:00:00,2014-10-28 00:00:00,89.1,16988,2014-10-28 00:00:00,38.4,93239,2014-10-28 00:00:00,51.2,2014-10-28,825.8
2014-10-29,2014-10-29 00:00:00,2014-10-29 00:00:00,89.1,17084,2014-10-29 00:00:00,34.0,93335,2014-10-29 00:00:00,51.8,2014-10-29,825.7
2014-10-30,2014-10-30 00:00:00,2014-10-30 00:00:00,87.2,17180,2014-10-30 00:00:00,29.3,93431,2014-10-30 00:00:00,51.8,2014-10-30,825.7
2014-10-31,2014-10-31 00:00:00,2014-10-31 00:00:00,87.2,17276,2014-10-31 00:00:00,25.8,93527,2014-10-31 00:00:00,50.5,2014-10-31,825.6
2014-11-01,2014-11-01 00:00:00,2014-11-01 00:00:00,89.1,17372,2014-11-01 00:00:00,34.0,93623,2014-11-01 00:00:00,51.2,2014-11-01,825.7
2014-11-02,2014-11-02 00:00:00,2014-11-02 00:00:00,91.0,17468,2014-11-02 00:00:00,41.6,93719,2014-11-02 00:00:00,51.8,2014-11-02,825.7
2014-11-03,2014-11-03 00:00:00,2014-11-03 00:00:00,96.8,17568,2014-11-03 00:00:00,58.8,93819,2014-11-03 00:00:00,53.1,2014-11-03,825.7
2014-11-04,2014-11-04 00:00:00,2014-11-04 00:00:00,96.8,17664,2014-11-04 00:00:00,50.4,93915,2014-11-04 00:00:00,53.1,2014-11-04,825.7
2014-11-05,2014-11-05 00:00:00,2014-11-05 00:00:00,127.0,17760,2014-11-05 00:00:00,70.0,94011,2014-11-05 00:00:00,56.3,2014-11-05,825.7
2014-11-06,2014-11-06 00:00:00,2014-11-06 00:00:00,198.0,17856,2014-11-06 00:00:00,57.1,94107,2014-11-06 00:00:00,57.0,2014-11-06,825.8
2014-11-07,2014-11-07 00:00:00,2014-11-07 00:00:00,131.0,17952,2014-11-07 00:00:00,50.4,94203,2014-11-07 00:00:00,53.1,2014-11-07,825.9
2014-11-08,2014-11-08 00:00:00,2014-11-08 00:00:00,120.0,18048,2014-11-08 00:00:00,55.4,94299,2014-11-08 00:00:00,53.1,2014-11-08,826.0
2014-11-09,2014-11-09 00:00:00,2014-11-09 00:00:00,120.0,18144,2014-11-09 00:00:00,60.4,94395,2014-11-09 00:00:00,53.1,2014-11-09,826.0
2014-11-10,2014-11-10 00:00:00,2014-11-10 00:00:00,122.0,18240,2014-11-10 00:00:00,62.0,94491,2014-11-10 00:00:00,53.1,2014-11-10,826.1
2014-11-11,2014-11-11 00:00:00,2014-11-11 00:00:00,127.0,18336,2014-11-11 00:00:00,63.6,94587,2014-11-11 00:00:00,53.1,2014-11-11,826.1
2014-11-12,2014-11-12 00:00:00,2014-11-12 00:00:00,124.0,18432,2014-11-12 00:00:00,60.4,94683,2014-11-12 00:00:00,52.4,2014-11-12,826.0
2014-11-13,2014-11-13 00:00:00,2014-11-13 00:00:00,124.0,18528,2014-11-13 00:00:00,60.4,94779,2014-11-13 00:00:00,53.1,2014-11-13,826.0
2014-11-14,2014-11-14 00:00:00,2014-11-14 00:00:00,129.0,18624,2014-11-14 00:00:00,63.6,94875,2014-11-14 00:00:00,55.7,2014-11-14,826.0
2014-11-15,2014-11-15 00:00:00,2014-11-15 00:00:00,127.0,18720,2014-11-15 00:00:00,70.0,94971,2014-11-15 00:00:00,55.7,2014-11-15,826.0
2014-11-16,2014-11-16 00:00:00,2014-11-16 00:00:00,131.0,18816,2014-11-16 00:00:00,71.6,95067,2014-11-16 00:00:00,56.3,2014-11-16,826.1
2014-11-17,2014-11-17 00:00:00,2014-11-17 00:00:00,131.0,18912,2014-11-17 00:00:00,75.4,95163,2014-11-17 00:00:00,56.3,2014-11-17,826.0
2014-11-18,2014-11-18 00:00:00,2014-11-18 00:00:00,131.0,19008,2014-11-18 00:00:00,68.4,95259,2014-11-18 00:00:00,58.3,2014-11-18,825.9
2014-11-19,2014-11-19 00:00:00,2014-11-19 00:00:00,131.0,19104,2014-11-19 00:00:00,66.8,95355,2014-11-19 00:00:00,56.3,2014-11-19,825.9
2014-11-20,2014-11-20 00:00:00,2014-11-20 00:00:00,131.0,19200,2014-11-20 00:00:00,63.6,95451,2014-11-20 00:00:00,56.3,2014-11-20,825.9
2014-11-21,2014-11-21 00:00:00,2014-11-21 00:00:00,131.0,19296,2014-11-21 00:00:00,60.4,95547,2014-11-21 00:00:00,56.3,2014-11-21,825.8
2014-11-23,2014-11-23 00:00:00,2014-11-23 00:00:00,322.0,19392,2014-11-23 00:00:00,75.4,95643,2014-11-23 00:00:00,66.2,2014-11-23,825.8
2014-11-24,2014-11-24 00:00:00,2014-11-24 00:00:00,161.0,19488,2014-11-24 00:00:00,68.4,95739,2014-11-24 00:00:00,63.6,2014-11-24,825.8
2014-11-25,2014-11-25 00:00:00,2014-11-25 00:00:00,153.0,19584,2014-11-25 00:00:00,70.0,95835,2014-11-25 00:00:00,63.6,2014-11-25,825.7
2014-11-26,2014-11-26 00:00:00,2014-11-26 00:00:00,143.0,19680,2014-11-26 00:00:00,70.0,95931,2014-11-26 00:00:00,64.2,2014-11-26,825.6
2014-11-27,2014-11-27 00:00:00,2014-11-27 00:00:00,143.0,19776,2014-11-27 00:00:00,71.6,96027,2014-11-27 00:00:00,63.6,2014-11-27,825.5
2014-11-28,2014-11-28 00:00:00,2014-11-28 00:00:00,146.0,19872,2014-11-28 00:00:00,73.5,96123,2014-11-28 00:00:00,63.6,2014-11-28,825.6
2014-11-29,2014-11-29 00:00:00,2014-11-29 00:00:00,148.0,19968,2014-11-29 00:00:00,77.3,96219,2014-11-29 00:00:00,64.2,2014-11-29,825.5
2014-11-30,2014-11-30 00:00:00,2014-11-30 00:00:00,143.0,20064,2014-11-30 00:00:00,77.3,96315,2014-11-30 00:00:00,65.5,2014-11-30,825.5
2014-12-01,2014-12-01 00:00:00,2014-12-01 00:00:00,141.0,20160,2014-12-01 00:00:00,75.4,96411,2014-12-01 00:00:00,66.9,2014-12-01,825.5
2014-12-02,2014-12-02 00:00:00,2014-12-02 00:00:00,141.0,20256,2014-12-02 00:00:00,73.5,96507,2014-12-02 00:00:00,65.5,2014-12-02,825.4
2014-12-03,2014-12-03 00:00:00,2014-12-03 00:00:00,141.0,20352,2014-12-03 00:00:00,73.5,96603,2014-12-03 00:00:00,59.0,2014-12-03,825.3
2014-12-04,2014-12-04 00:00:00,2014-12-04 00:00:00,141.0,20448,2014-12-04 00:00:00,75.4,96699,2014-12-04 00:00:00,55.7,2014-12-04,825.2
2014-12-05,2014-12-05 00:00:00,2014-12-05 00:00:00,139.0,20544,2014-12-05 00:00:00,71.6,96795,2014-12-05 00:00:00,56.3,2014-12-05,825.1
2014-12-06,2014-12-06 00:00:00,2014-12-06 00:00:00,139.0,20640,2014-12-06 00:00:00,71.6,96891,2014-12-06 00:00:00,55.0,2014-12-06,825.0
2014-12-07,2014-12-07 00:00:00,2014-12-07 00:00:00,139.0,20736,2014-12-07 00:00:00,73.5,96987,2014-12-07 00:00:00,54.4,2014-12-07,824.9
2014-12-08,2014-12-08 00:00:00,2014-12-08 00:00:00,136.0,20832,2014-12-08 00:00:00,73.5,97083,2014-12-08 00:00:00,53.7,2014-12-08,824.9
2014-12-09,2014-12-09 00:00:00,2014-12-09 00:00:00,134.0,20928,2014-12-09 00:00:00,73.5,97179,2014-12-09 00:00:00,53.7,2014-12-09,824.8
2014-12-10,2014-12-10 00:00:00,2014-12-10 00:00:00,139.0,21024,2014-12-10 00:00:00,77.3,97275,2014-12-10 00:00:00,53.7,2014-12-10,824.8
2014-12-11,2014-12-11 00:00:00,2014-12-11 00:00:00,136.0,21120,2014-12-11 00:00:00,86.7,97371,2014-12-11 00:00:00,37.2,2014-12-11,824.8
2014-12-12,2014-12-12 00:00:00,2014-12-12 00:00:00,136.0,21216,2014-12-12 00:00:00,63.6,97467,2014-12-12 00:00:00,60.3,2014-12-12,824.8
2014-12-13,2014-12-13 00:00:00,2014-12-13 00:00:00,136.0,21312,2014-12-13 00:00:00,65.2,97563,2014-12-13 00:00:00,58.3,2014-12-13,824.8
2014-12-14,2014-12-14 00:00:00,2014-12-14 00:00:00,139.0,21408,2014-12-14 00:00:00,62.0,97659,2014-12-14 00:00:00,58.3,2014-12-14,824.9
2014-12-15,2014-12-15 00:00:00,2014-12-15 00:00:00,141.0,21504,2014-12-15 00:00:00,60.4,97755,2014-12-15 00:00:00,58.3,2014-12-15,824.8
2014-12-16,2014-12-16 00:00:00,2014-12-16 00:00:00,136.0,21600,2014-12-16 00:00:00,58.8,97851,2014-12-16 00:00:00,58.3,2014-12-16,824.8
2014-12-17,2014-12-17 00:00:00,2014-12-17 00:00:00,134.0,21696,2014-12-17 00:00:00,58.8,97947,2014-12-17 00:00:00,58.3,2014-12-17,824.8
2014-12-18,2014-12-18 00:00:00,2014-12-18 00:00:00,134.0,21792,2014-12-18 00:00:00,65.2,98043,2014-12-18 00:00:00,59.0,2014-12-18,824.8
2014-12-19,2014-12-19 00:00:00,2014-12-19 00:00:00,136.0,21888,2014-12-19 00:00:00,66.8,98139,2014-12-19 00:00:00,59.0,2014-12-19,824.8
2014-12-20,2014-12-20 00:00:00,2014-12-20 00:00:00,136.0,21984,2014-12-20 00:00:00,58.8,98235,2014-12-20 00:00:00,57.0,2014-12-20,824.7
2014-12-21,2014-12-21 00:00:00,2014-12-21 00:00:00,136.0,22080,2014-12-21 00:00:00,58.8,98331,2014-12-21 00:00:00,57.0,2014-12-21,824.6
2014-12-22,2014-12-22 00:00:00,2014-12-22 00:00:00,134.0,22176,2014-12-22 00:00:00,62.0,98427,2014-12-22 00:00:00,57.6,2014-12-22,824.6
2014-12-23,2014-12-23 00:00:00,2014-12-23 00:00:00,131.0,22272,2014-12-23 00:00:00,63.6,98523,2014-12-23 00:00:00,51.2,2014-12-23,824.6
2014-12-24,2014-12-24 00:00:00,2014-12-24 00:00:00,134.0,22368,2014-12-24 00:00:00,65.2,98619,2014-12-24 00:00:00,50.5,2014-12-24,824.5
2014-12-25,2014-12-25 00:00:00,2014-12-25 00:00:00,136.0,22464,2014-12-25 00:00:00,66.8,98715,2014-12-25 00:00:00,50.5,2014-12-25,824.4
2014-12-26,2014-12-26 00:00:00,2014-12-26 00:00:00,136.0,22560,2014-12-26 00:00:00,66.8,98811,2014-12-26 00:00:00,51.2,2014-12-26,824.4
2014-12-27,2014-12-27 00:00:00,2014-12-27 00:00:00,134.0,22656,2014-12-27 00:00:00,65.2,98907,2014-12-27 00:00:00,51.8,2014-12-27,824.3
2014-12-28,2014-12-28 00:00:00,2014-12-28 00:00:00,134.0,22752,2014-12-28 00:00:00,63.6,99003,2014-12-28 00:00:00,50.5,2014-12-28,824.3
2014-12-29,2014-12-29 00:00:00,2014-12-29 00:00:00,134.0,22848,2014-12-29 00:00:00,65.2,99099,2014-12-29 00:00:00,49.9,2014-12-29,824.3
2014-12-30,2014-12-30 00:00:00,2014-12-30 00:00:00,134.0,22944,2014-12-30 00:00:00,70.0,99195,2014-12-30 00:00:00,42.2,2014-12-30,824.3
2014-12-31,2014-12-31 00:00:00,2014-12-31 00:00:00,131.0,23040,2014-12-31 00:00:00,65.2,99291,2014-12-31 00:00:00,46.7,2014-12-31,824.2
2015-01-01,2015-01-01 00:00:00,2015-01-01 00:00:00,131.0,23136,2015-01-01 00:00:00,65.2,99387,2015-01-01 00:00:00,48.6,2015-01-01,824.3
2015-01-02,2015-01-02 00:00:00,2015-01-02 00:00:00,131.0,23232,2015-01-02 00:00:00,65.2,99483,2015-01-02 00:00:00,49.2,2015-01-02,824.3
2015-01-03,2015-01-03 00:00:00,2015-01-03 00:00:00,129.0,23328,2015-01-03 00:00:00,63.6,99579,2015-01-03 00:00:00,54.4,2015-01-03,824.3
2015-01-04,2015-01-04 00:00:00,2015-01-04 00:00:00,131.0,23424,2015-01-04 00:00:00,62.0,99675,2015-01-04 00:00:00,53.7,2015-01-04,824.2
2015-01-05,2015-01-05 00:00:00,2015-01-05 00:00:00,134.0,23520,2015-01-05 00:00:00,62.0,99771,2015-01-05 00:00:00,53.7,2015-01-05,824.3
2015-01-06,2015-01-06 00:00:00,2015-01-06 00:00:00,131.0,23616,2015-01-06 00:00:00,62.0,99867,2015-01-06 00:00:00,53.7,2015-01-06,824.2
2015-01-09,2015-01-09 00:00:00,2015-01-09 00:00:00,131.0,23904,2015-01-09 00:00:00,65.2,100155,2015-01-09 00:00:00,53.7,2015-01-09,824.2
2015-01-10,2015-01-10 00:00:00,2015-01-10 00:00:00,134.0,24000,2015-01-10 00:00:00,65.2,100251,2015-01-10 00:00:00,55.0,2015-01-10,824.3
2015-01-11,2015-01-11 00:00:00,2015-01-11 00:00:00,139.0,24096,2015-01-11 00:00:00,70.0,100347,2015-01-11 00:00:00,56.3,2015-01-11,824.3
2015-01-12,2015-01-12 00:00:00,2015-01-12 00:00:00,141.0,24192,2015-01-12 00:00:00,71.6,100443,2015-01-12 00:00:00,55.7,2015-01-12,824.3
2015-01-15,2015-01-15 00:00:00,2015-01-15 00:00:00,139.0,24480,2015-01-15 00:00:00,71.6,100539,2015-01-15 00:00:00,55.0,2015-01-15,824.3
2015-01-16,2015-01-16 00:00:00,2015-01-16 00:00:00,139.0,24576,2015-01-16 00:00:00,73.5,100635,2015-01-16 00:00:00,56.3,2015-01-16,824.3
2015-01-17,2015-01-17 00:00:00,2015-01-17 00:00:00,141.0,24672,2015-01-17 00:00:00,75.4,100731,2015-01-17 00:00:00,55.0,2015-01-17,824.3
2015-01-18,2015-01-18 00:00:00,2015-01-18 00:00:00,141.0,24768,2015-01-18 00:00:00,75.4,100827,2015-01-18 00:00:00,57.0,2015-01-18,824.3
2015-01-19,2015-01-19 00:00:00,2015-01-19 00:00:00,141.0,24864,2015-01-19 00:00:00,75.4,100923,2015-01-19 00:00:00,56.3,2015-01-19,824.3
2015-01-20,2015-01-20 00:00:00,2015-01-20 00:00:00,143.0,24960,2015-01-20 00:00:00,77.3,101019,2015-01-20 00:00:00,55.7,2015-01-20,824.3
2015-01-21,2015-01-21 00:00:00,2015-01-21 00:00:00,143.0,25056,2015-01-21 00:00:00,77.3,101115,2015-01-21 00:00:00,56.3,2015-01-21,824.3
