pdate,MaxLevel
"1971-03-31 00:00:00",644.18
"1971-03-30 00:00:00",644.91
"1971-03-29 00:00:00",645.32
"1971-03-28 00:00:00",646.62
"1971-03-27 00:00:00",646.95
"1971-03-26 00:00:00",646.76
"1971-03-25 00:00:00",647.15
"1971-03-24 00:00:00",645.67
"1971-03-23 00:00:00",645.84
"1971-03-22 00:00:00",647.2
"1971-03-21 00:00:00",648.31
"1971-03-20 00:00:00",648.21
"1971-03-19 00:00:00",647.56
"1971-03-18 00:00:00",647.77
"1971-03-17 00:00:00",647.54
"1971-03-16 00:00:00",648.55
"1971-03-15 00:00:00",649.39
"1971-03-14 00:00:00",649.99
"1971-03-13 00:00:00",650.74
"1971-03-12 00:00:00",651.05
"1971-03-11 00:00:00",651.86
"1971-03-10 00:00:00",651.83
"1971-03-09 00:00:00",652.8
"1971-03-08 00:00:00",652.95
"1971-03-07 00:00:00",653.37
"1971-03-06 00:00:00",653.23
"1971-03-05 00:00:00",653.67
"1971-03-04 00:00:00",653.7
"1971-03-03 00:00:00",653.51
"1971-03-02 00:00:00",653.13
"1971-03-01 00:00:00",653.89
"1971-02-28 00:00:00",653.74
"1971-02-27 00:00:00",653.48
"1971-02-26 00:00:00",652
"1971-02-25 00:00:00",652.48
"1971-02-24 00:00:00",652.4
"1971-02-23 00:00:00",652.45
"1971-02-22 00:00:00",652.69
"1971-02-21 00:00:00",651.98
"1971-02-20 00:00:00",651.85
"1971-02-19 00:00:00",652.03
"1971-02-18 00:00:00",652.16
"1971-02-17 00:00:00",652.76
"1971-02-16 00:00:00",652.24
"1971-02-15 00:00:00",653.26
"1971-02-14 00:00:00",653.53
"1971-02-13 00:00:00",653.78
"1971-02-12 00:00:00",653.5
"1971-02-11 00:00:00",654.45
"1971-02-10 00:00:00",654.46
"1971-02-09 00:00:00",654.59
"1971-02-08 00:00:00",655.04
"1971-02-07 00:00:00",654.94
"1971-02-06 00:00:00",655.02
"1971-02-05 00:00:00",655.16
"1971-02-04 00:00:00",655.64
"1971-02-03 00:00:00",655.2
"1971-02-02 00:00:00",654.82
"1971-02-01 00:00:00",654.88
"1971-01-31 00:00:00",655
"1971-01-30 00:00:00",655.08
"1971-01-29 00:00:00",654.87
"1971-01-28 00:00:00",655.24
"1971-01-27 00:00:00",655.34
"1971-01-26 00:00:00",656.23
"1971-01-25 00:00:00",657.32
"1971-01-24 00:00:00",657.71
"1971-01-23 00:00:00",657.67
"1971-01-22 00:00:00",658.02
"1971-01-21 00:00:00",658.67
"1971-01-20 00:00:00",658.81
"1971-01-19 00:00:00",659.14
"1971-01-18 00:00:00",659.94
"1971-01-17 00:00:00",660.25
"1971-01-16 00:00:00",660.21
"1971-01-15 00:00:00",660.32
"1971-01-14 00:00:00",660.48
"1971-01-13 00:00:00",660.99
"1971-01-12 00:00:00",660.87
"1971-01-11 00:00:00",661.69
"1971-01-10 00:00:00",662.2
"1971-01-09 00:00:00",662.3
"1971-01-08 00:00:00",662.27
"1971-01-07 00:00:00",662.21
"1971-01-06 00:00:00",662.13
"1971-01-05 00:00:00",662.26
"1971-01-04 00:00:00",662.8
"1971-01-03 00:00:00",663.42
"1971-01-02 00:00:00",663.12
"1971-01-01 00:00:00",662.75
"1970-12-31 00:00:00",662.59
"1970-12-30 00:00:00",662.69
"1970-12-29 00:00:00",662.87
"1970-12-28 00:00:00",663.25
"1970-12-27 00:00:00",663.21
"1970-12-26 00:00:00",663.15
"1970-12-25 00:00:00",662.69
"1970-12-24 00:00:00",662.42
"1970-12-23 00:00:00",662.6
"1970-12-22 00:00:00",662.5
"1970-12-21 00:00:00",662.9
"1970-12-20 00:00:00",662.45
"1970-12-19 00:00:00",662.22
"1970-12-18 00:00:00",661.98
"1970-12-17 00:00:00",662.17
"1970-12-16 00:00:00",662.61
"1970-12-15 00:00:00",662.76
"1970-12-14 00:00:00",662.86
"1970-12-13 00:00:00",662.62
"1970-12-12 00:00:00",662.36
"1970-12-11 00:00:00",662.05
"1970-12-10 00:00:00",662.03
"1970-12-09 00:00:00",662.32
"1970-12-08 00:00:00",662.43
"1970-12-07 00:00:00",662.59
"1970-12-06 00:00:00",662.41
"1970-12-05 00:00:00",662.3
"1970-12-04 00:00:00",662.19
"1970-12-03 00:00:00",662.55
"1970-12-02 00:00:00",662.44
"1970-12-01 00:00:00",662.72
"1970-11-30 00:00:00",663.21
"1970-11-29 00:00:00",663.27
"1970-11-28 00:00:00",662.92
"1970-11-27 00:00:00",663.24
"1970-11-26 00:00:00",662.91
"1970-11-25 00:00:00",662.78
"1970-11-24 00:00:00",662.54
"1970-11-23 00:00:00",662.68
"1970-11-22 00:00:00",662.86
"1970-11-21 00:00:00",662.56
"1970-11-20 00:00:00",662.43
"1970-11-19 00:00:00",662.79
"1970-11-18 00:00:00",662.99
"1970-11-17 00:00:00",663.22
"1970-11-16 00:00:00",663.34
"1970-11-15 00:00:00",663.22
"1970-11-14 00:00:00",662.94
"1970-11-13 00:00:00",662.66
"1970-11-12 00:00:00",662.56
"1970-11-11 00:00:00",662.89
"1970-11-10 00:00:00",663.12
"1970-11-09 00:00:00",663.6
"1970-11-08 00:00:00",663.66
"1970-11-07 00:00:00",663.55
"1970-11-06 00:00:00",663.45
"1970-11-05 00:00:00",663.53
"1970-11-04 00:00:00",663.51
"1970-11-03 00:00:00",663.78
"1970-11-02 00:00:00",664.01
"1970-11-01 00:00:00",664.23
"1970-10-31 00:00:00",664
"1970-10-30 00:00:00",663.85
"1970-10-29 00:00:00",663.93
"1970-10-28 00:00:00",664.03
"1970-10-27 00:00:00",664.05
"1970-10-26 00:00:00",664.45
"1970-10-25 00:00:00",664.38
"1970-10-24 00:00:00",664.21
"1970-10-23 00:00:00",664.09
"1970-10-22 00:00:00",663.97
"1970-10-21 00:00:00",663.97
"1970-10-20 00:00:00",663.96
"1970-10-19 00:00:00",663.93
"1970-10-18 00:00:00",663.7
"1970-10-17 00:00:00",663.12
"1970-10-16 00:00:00",663.02
"1970-10-15 00:00:00",662.97
"1970-10-14 00:00:00",663.36
"1970-10-13 00:00:00",663.6
"1970-10-12 00:00:00",663.56
"1970-10-11 00:00:00",663.28
"1970-10-10 00:00:00",662.92
